Age,Estimated_Income,Superannuation_Savings,Amount_of_Credit_Cards,Credit_Card_Balance,Bank_Loans,Bank_Deposits,Checking_Accounts,Saving_Accounts,Foreign_Currency_Account,Business_Lending,Properties_Owned,Nationality_encoded,Occupation_encoded,Loyalty_Classification_encoded
75,27539.46,19192.32,2,2156.04,481823.31,200763.09,48260.36,97003.32,17716.9,130619.51,2,2,130,3
28,81557.86,2484.16,2,548.41,261970.49,218097.36,101579.59,114366.67,14742.15,345344.84,0,1,183,0
83,389998.68,11941.88,3,351.12,556818.44,331476.76,313719.07,186396.48,39035.61,948488.76,1,4,92,1
48,49043.13,4382.85,1,4305.68,617980.37,949361.04,718435.38,136844.84,6145.36,139564.53,2,1,112,0
26,129574.89,6106.65,1,67.85,150913.81,514861.52,507808.62,154035.28,14027.21,637115.46,0,2,95,1
75,250596.15,26915.7,2,6992.56,1172036.0,1974608.14,567861.16,737187.04,49784.36,2541004.26,2,4,175,1
37,140464.07,19960.6,1,1579.63,384162.75,268653.24,236089.21,102576.69,22157.12,721889.86,0,4,132,0
62,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,1,64,1
30,78421.68,19476.72,2,4.36,31261.43,87355.44,84178.88,88086.05,2225.12,734351.9,0,4,126,3
76,212867.66,33481.5,2,3374.64,576469.6,95070.79,51038.01,47565.42,5204.91,336494.28,1,2,43,1
85,295561.36,31806.27,1,2434.13,896415.94,217504.28,64215.55,127208.93,21884.22,2095276.49,1,0,178,0
45,187068.34,33993.85,1,4178.48,937917.29,1303676.98,298932.3,441091.22,44780.25,1328572.47,0,3,8,0
50,205568.33,22084.6,1,3975.54,119101.88,606081.5,661179.81,65488.29,23952.42,1007604.78,2,4,89,2
57,336871.57,7570.55,1,4649.33,215789.6,379581.89,228420.96,67720.1,79203.9,693683.89,1,4,50,1
40,52433.52,15258.24,1,1205.98,184632.03,46784.32,55657.21,26755.79,1485.82,279016.73,1,2,40,2
23,245119.06,24420.84,1,7978.71,1314967.14,1356925.01,814155.01,96147.83,62122.76,561213.52,3,2,24,1
63,178742.31,18878.86,1,443.02,419469.23,147522.02,115304.57,46664.44,22403.6,706528.29,2,4,132,1
21,61901.37,3418.72,1,3705.89,496453.44,616815.0,253485.61,177439.93,10925.59,1287514.29,0,3,61,1
47,65898.23,13763.61,1,7471.15,1279521.38,227354.43,114558.44,48114.54,6104.19,1630255.88,3,1,60,2
85,177489.75,8929.98,2,5043.49,82412.36,532664.38,102728.13,155538.0,46285.89,181546.18,3,4,85,2
41,129981.31,10242.84,2,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2,1,78,1
48,202723.95,27261.15,2,1405.61,510642.72,222820.01,304520.68,33423.0,15783.98,423152.44,2,1,16,0
56,146380.61,15563.67,1,5958.39,338237.2,665273.41,175308.53,142584.27,65572.5,1196080.23,2,2,127,0
52,439605.09,28966.5,1,5837.24,993887.33,694245.6,368160.55,827309.34,26346.28,989192.36,3,4,112,3
76,166062.12,32686.84,1,83.8,94568.8,136205.19,63238.12,134989.07,14772.92,336401.2,0,1,36,3
43,235695.74,19555.95,1,7227.13,77362.79,981482.26,654321.51,592273.78,14202.1,871087.37,2,1,71,2
32,220825.61,8343.79,1,6108.18,1751103.57,786746.12,248800.05,313488.07,78834.65,2319718.32,3,4,18,1
23,259991.82,60147.9,1,482.52,297362.58,511215.38,519329.91,341783.99,30607.23,561820.46,1,0,181,0
44,112495.64,23594.2,1,1133.12,109075.16,67339.03,67339.03,20280.93,11209.32,100274.4,3,2,10,2
82,75807.36,17002.7,2,3280.38,647520.73,26021.94,20395.58,14769.21,23382.82,414144.95,0,4,114,1
32,110074.98,34598.44,1,6574.96,357739.16,843027.1,912317.0,123682.47,6388.26,1722652.66,3,2,126,0
79,193275.84,30044.4,1,259.08,896307.83,1523757.92,1007839.88,197728.59,11436.1,1300112.21,3,4,7,0
35,79692.87,34412.04,2,4136.36,1411246.75,2844789.79,1379657.16,386732.26,45795.58,406621.87,2,1,99,1
75,114845.02,37392.43,1,3797.9,328327.14,215160.77,92499.02,86868.65,55163.63,1542433.19,0,2,136,1
48,428020.8,64848.72,1,11128.31,447741.77,1735991.73,811794.7,271014.54,11001.57,3072791.32,2,4,185,1
74,148851.2,4569.5,1,4858.44,71196.41,905790.51,216308.18,386110.1,3012.79,1071451.07,0,4,95,2
79,446342.23,64689.68,2,1042.24,0.0,118553.71,60298.87,44416.76,67808.68,1170488.07,3,0,181,1
74,156545.51,39368.0,2,2456.19,357888.96,855084.96,875940.69,133476.68,73313.25,703335.73,0,2,72,1
83,44252.99,45239.43,1,293.48,726570.29,527117.15,332216.69,122920.18,31053.88,1796045.52,1,4,1,1
78,33648.25,7178.76,2,1240.75,703436.66,53513.77,12973.04,30324.47,38456.51,1036721.98,1,1,46,0
32,141218.68,8747.31,1,2090.5,206256.08,360033.2,134412.4,286874.46,11659.93,650341.28,0,1,176,1
18,91589.48,32407.92,1,257.93,672627.05,280502.98,126423.88,198801.55,40677.75,798973.85,2,1,12,0
69,65431.3,25178.1,1,2991.32,352619.01,509618.04,364012.89,180326.38,13655.57,680989.78,0,4,170,3
64,184290.87,36991.36,1,2351.04,386783.04,489242.88,241359.82,104306.58,18244.8,287864.64,0,4,139,2
26,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,1,105,1
35,206263.62,33478.56,2,1184.32,698207.72,119493.39,58734.04,119351.62,5048.38,751678.76,2,4,38,1
73,36313.8,2913.3,2,1255.92,56507.39,165720.27,127127.88,73915.78,9357.52,422697.9,2,4,161,0
33,71704.22,37631.52,3,2471.43,190642.84,144206.48,83487.96,152555.27,5275.56,477246.23,1,3,81,1
39,445066.83,52998.3,1,66.15,490046.26,980086.57,490043.28,443739.19,56590.0,967822.13,2,2,192,1
67,208955.64,22115.52,1,3146.46,76186.92,122186.43,79606.31,72812.0,24815.26,635260.67,3,4,35,1
78,64432.38,6760.26,2,2766.38,171612.11,192069.96,171969.61,55476.95,15081.93,104073.95,2,4,183,0
71,141296.85,2725.42,2,2574.24,323789.6,756163.86,294435.49,363493.99,4232.01,854450.48,2,1,149,0
49,52463.04,9926.8,1,2526.24,444465.02,180778.17,114175.69,123690.33,23190.64,778208.38,3,2,12,3
30,26691.56,2617.5,1,1493.72,234570.75,455937.82,242882.76,108104.14,17093.79,127376.01,0,1,6,0
52,140915.21,10232.55,1,71.93,476721.61,309304.55,317896.35,78185.32,17307.76,133351.92,0,1,90,1
76,91046.88,60686.4,1,6019.99,250848.93,317919.57,119219.84,130580.79,12859.43,3239548.7,3,3,61,1
23,308261.53,34867.08,1,931.75,986121.54,2404549.76,1379657.16,292917.88,26441.84,2399439.15,1,4,176,3
41,29624.93,2992.12,3,1362.11,122207.29,64712.43,43544.81,12700.57,26388.75,173310.81,1,2,136,2
41,110274.57,17670.6,1,2629.15,488286.58,660940.82,468166.41,79312.9,35583.41,734974.13,1,4,87,1
64,128154.79,34072.72,2,3214.16,94876.07,231597.85,94529.73,175825.3,76987.31,2043910.42,1,2,136,3
43,79160.51,50359.88,3,7012.64,305168.61,1086576.22,657664.56,366385.88,46669.5,525028.87,2,4,66,3
36,226527.0,38478.0,2,2464.02,156791.7,289123.04,236302.48,50040.53,12450.36,1649984.7,0,1,5,1
82,260944.03,21134.01,1,327.85,500216.98,298094.81,343955.55,81402.81,32642.73,904332.08,2,3,88,0
80,209326.34,72063.81,1,2059.37,394449.11,793479.63,267036.41,451291.54,22561.23,1888140.87,0,4,117,3
54,157834.48,22631.63,1,350.96,269137.89,194535.85,189348.23,67931.92,1691.6,611983.05,1,2,75,2
67,267268.83,28590.68,1,5722.25,706552.99,764881.33,573661.0,196319.54,54926.84,1121639.52,0,1,188,3
71,161766.54,31767.39,2,3231.45,1212157.09,1863378.06,815227.9,543041.61,19827.76,1344797.9,2,3,47,0
69,125063.15,38381.85,1,4223.54,605651.17,749893.66,370200.67,590612.45,46329.51,470485.65,1,2,84,1
36,222087.6,24721.74,2,5802.07,150173.05,678567.87,379795.45,75959.09,25681.49,1634412.61,1,4,155,1
51,113345.17,37139.75,2,5682.32,89916.2,283791.87,167483.73,75553.77,24094.26,908357.26,2,4,63,3
32,249185.87,24091.08,3,4896.61,1252227.23,2569398.61,1275715.39,359536.13,33250.07,481759.11,3,2,112,1
85,106275.03,28488.75,2,4931.53,1322088.0,1012792.3,428172.35,466378.5,7746.17,1059456.99,3,3,110,3
70,69503.13,28797.84,3,444.55,246308.75,247751.56,161413.9,175453.15,8059.39,262550.14,3,2,187,1
73,282121.46,44571.24,1,7764.56,997936.44,412333.44,265363.1,114310.26,46640.79,444889.93,3,4,93,1
23,185224.44,48836.08,1,986.24,2266543.62,2937041.97,766184.86,1037916.7949999999,98676.04,1273737.97,2,4,68,3
37,144204.97,23540.58,1,2387.44,72118.28,187124.17,134495.49,102625.91,1663.65,69536.1,2,4,122,2
33,90635.48,18348.33,1,2289.89,780486.52,505712.98,277949.12,104848.58,25680.78,114050.25,2,4,59,1
55,77959.98,5382.4,2,2690.25,671360.68,2253058.98,952635.68,699355.56,60745.48,2207401.86,0,4,53,1
21,195651.75,38778.5,1,3559.71,677557.65,248235.08,193429.93,147006.75,31873.77,492181.31,1,2,10,1
71,251879.41,26983.64,1,4136.58,417909.05,2066780.57,935331.35,395554.65,48521.98,1168214.65,3,1,85,2
45,20080.71,18277.2,1,197.27,311827.08,136948.97,156796.65,41263.32,7135.91,438282.34,3,0,152,1
47,90051.85,30906.2,2,4230.97,187672.49,447985.61,316511.57,172133.6,30877.37,1049172.34,0,1,171,3
58,56227.8,4078.08,1,4011.98,85758.91,169677.16,137862.69,68295.06,36289.73,976275.07,2,3,125,3
78,280286.64,42697.75,1,4942.67,153326.81,611071.7,503235.52,197699.67,21493.68,1007843.8,0,4,8,1
24,157380.5,4309.76,1,691.74,1017636.33,1236148.34,658677.58,170534.33,46020.33,1144712.1,2,4,69,1
40,186416.57,10340.47,1,2210.54,50845.04,661637.72,393281.16,54134.0,54999.96,1705043.1,1,4,24,3
26,157903.39,24730.79,1,1723.95,222678.45,89287.6,54605.64,19377.62,21003.39,995856.75,0,2,5,2
61,46631.31,21327.57,3,3706.79,151883.94,204987.25,56405.89,66558.95,18299.42,715134.11,2,4,120,2
